Iso-2,Continent,Country,Breach No. 22'Q1,Breach No. 21'Q4,Average,Percentage change
LY,Africa,Libya,3730,4799,4264.5,-22%
CX,Oceania,Christmas Island,3723,83011,43367,-96%
NI,North America,Nicaragua,3719,7519,5619,-51%
TM,Asia,Turkmenistan,3621,19640,11630.5,-82%
SD,Africa,Sudan,3607,3120,3363.5,16%
SO,Africa,Somalia,3572,4473,4022.5,-20%
GH,Africa,Ghana,3346,10356,6851,-68%
SI,Europe,Slovenia,3314,7336,5325,-55%
TT,North America,Trinidad and Tobago,3308,9401,6354.5,-65%
FJ,Oceania,Fiji,3023,4219,3621,-28%
SC,Africa,Seychelles,2973,7588,5280.5,-61%
PY,South America,Paraguay,2948,6401,4674.5,-54%
MV,Asia,Maldives,2889,22062,12475.5,-87%
KH,Asia,Cambodia,2782,10216,6499,-73%
TK,Oceania,Tokelau,2707,3548,3127.5,-24%
BZ,North America,Belize,2690,26085,14387.5,-90%
BA,Europe,Bosnia and Herzegovina,2592,5239,3915.5,-51%
JM,North America,Jamaica,2536,20074,11305,-87%
LA,Asia,Laos,2391,7789,5090,-69%
CI,Africa,Ivory Coast,2379,6943,4661,-66%
CM,Africa,Cameroon,2315,5360,3837.5,-57%
HT,North America,Haiti,2287,9814,6050.5,-77%
PN,Oceania,Pitcairn,2244,8856,5550,-75%
CY,Asia,Cyprus,2243,4642,3442.5,-52%
LR,Africa,Liberia,2054,2028,2041,1%
BT,Asia,Bhutan,2040,10479,6259.5,-81%
MK,Europe,North Macedonia,2033,5948,3990.5,-66%
WS,Oceania,Samoa,1963,2956,2459.5,-34%
UG,Africa,Uganda,1948,5416,3682,-64%
SN,Africa,Senegal,1648,1588,1618,4%
BN,Asia,Brunei Darussalam,1506,5881,3693.5,-74%
AO,Africa,Angola,1484,1785,1634.5,-17%
PM,North America,St. Pierre and Miquelon,1387,9115,5251,-85%
PW,Oceania,Palau,1374,1594,1484,-14%
TZ,Africa,Tanzania,1372,3119,2245.5,-56%
NU,Oceania,Niue,1306,3163,2234.5,-59%
ZM,Africa,Zambia,1305,2948,2126.5,-56%
BS,North America,Bahamas,1265,4904,3084.5,-74%
MT,Europe,Malta,1263,3158,2210.5,-60%
MU,Africa,Mauritius,1212,3203,2207.5,-62%
MS,North America,Montserrat,1212,824,1018,47%
AX,Europe,Åland Islands,1198,1113,1155.5,8%
ML,Africa,Mali,1155,1333,1244,-13%
ET,Africa,Ethiopia,1125,2947,2036,-62%
KP,Asia,North Korea,1057,10188,5622.5,-90%
FK,South America,Falkland Islands,1034,3032,2033,-66%
GQ,Africa,Equatorial Guinea,991,5355,3173,-81%
BB,North America,Barbados,979,4986,2982.5,-80%
GN,Africa,Guinea,949,2033,1491,-53%
VI,North America,U.S. Virgin Islands,908,1379,1143.5,-34%
BF,Africa,Burkina Faso,908,8401,4654.5,-89%
BJ,Africa,Benin,893,3719,2306,-76%
GA,Africa,Gabon,891,898,894.5,-1%
AI,North America,Anguilla,848,6252,3550,-86%
MZ,Africa,Mozambique,828,1614,1221,-49%
MH,Oceania,Marshall Islands,823,2712,1767.5,-70%
SR,South America,Suriname,820,2193,1506.5,-63%
CG,Africa,Congo,795,436,615.5,82%
AD,Europe,Andorra,794,1816,1305,-56%
NA,Africa,Namibia,767,2293,1530,-67%
BW,Africa,Botswana,758,5911,3334.5,-87%
VC,North America,St. Vincent and the Grenadines,747,1693,1220,-56%
NE,Africa,Niger,744,1413,1078.5,-47%
SL,Africa,Sierra Leone,737,695,716,6%
SJ,Europe,Svalbard and Jan Mayen Islands,716,7515,4115.5,-90%
MG,Africa,Madagascar,715,1060,887.5,-33%
RW,Africa,Rwanda,710,10245,5477.5,-93%
PG,Oceania,Papua New Guinea,696,1864,1280,-63%
RE,Africa,Réunion,683,1074,878.5,-36%
NC,Oceania,New Caledonia,674,1171,922.5,-42%
TG,Africa,Togo,660,2136,1398,-69%
MR,Africa,Mauritania,659,1027,843,-36%
CF,Africa,Central African Republic,656,1991,1323.5,-67%
SX,North America,Sint Maarten,610,885,747.5,-31%
LI,Europe,Liechtenstein,600,3951,2275.5,-85%
TC,North America,Turks and Caicos Islands,599,611,605,-2%
VU,Oceania,Vanuatu,587,8896,4741.5,-93%
AG,North America,Antigua and Barbuda,575,1158,866.5,-50%
AS,Oceania,American Samoa,543,1444,993.5,-62%
DJ,Africa,Djibouti,514,3733,2123.5,-86%
PF,Oceania,French Polynesia,488,1023,755.5,-52%
MQ,North America,Martinique,473,2445,1459,-81%
YT,Africa,Mayotte,472,3397,1934.5,-86%
GU,Oceania,Guam,458,1639,1048.5,-72%
AW,North America,Aruba,453,1308,880.5,-65%
GP,North America,Guadeloupe,449,2092,1270.5,-79%
IM,Europe,Isle of Man,410,1416,913,-71%
CK,Oceania,Cook Islands,409,1898,1153.5,-78%
TF,Africa,French Southern Territories,405,26232,13318.5,-98%
KI,Oceania,Kiribati,395,918,656.5,-57%
NR,Oceania,Nauru,386,554,470,-30%
BM,North America,Bermuda,376,2456,1416,-85%
MC,Europe,Monaco,367,775,571,-53%
GY,South America,Guyana,366,1095,730.5,-67%
WF,Oceania,Wallis and Futuna Islands,364,651,507.5,-44%
MW,Africa,Malawi,362,999,680.5,-64%
CV,Africa,Cabo Verde,345,268,306.5,29%
SZ,Africa,Eswatini,341,901,621,-62%
GL,North America,Greenland,340,666,503,-49%
ST,Africa,São Tomé and Príncipe,333,2782,1557.5,-88%
BV,South America,Bouvet Island,61,1213,637,-95%
BI,Africa,Burundi,315,1379,847,-77%
GI,Europe,Gibraltar,304,830,567,-63%
GS,South America,South Georgia and the South Sandwich Islands,70,372,221,-81%
SB,Oceania,Solomon Islands,296,942,619,-69%
GM,Africa,Gambia,295,995,645,-70%
KY,North America,Cayman Islands,280,1755,1017.5,-84%
LS,Africa,Lesotho,271,997,634,-73%
LC,North America,St. Lucia,269,715,492,-62%
GF,South America,French Guiana,269,1483,876,-82%
BQ,North America,"Bonaire, Sint Eustatius and Saba",38,57,47.5,-33%
TD,Africa,Chad,257,921,589,-72%
GW,Africa,Guinea-Bissau,256,555,405.5,-54%
TO,Oceania,Tonga,251,970,610.5,-74%
EH,Africa,Western Sahara,77,404,240.5,-81%
UM,Oceania,U.S. Minor Outlying Islands,239,752,495.5,-68%
AQ,Antarctica,Antarctica,226,614,420,-63%
IO,Africa,British Indian Ocean Territory,220,851,535.5,-74%
TL,Asia,Timor-Leste,219,908,563.5,-76%
VG,North America,British Virgin Islands,210,685,447.5,-69%
JE,Europe,Jersey,201,879,540,-77%
NF,Oceania,Norfolk Island,193,641,417,-70%
DM,North America,Dominica,184,1047,615.5,-82%
GD,North America,Grenada,183,1094,638.5,-83%
KM,Africa,Comoros,180,2559,1369.5,-93%
KN,North America,St. Kitts and Nevis,178,841,509.5,-79%
ER,Africa,Eritrea,153,657,405,-77%
CW,North America,Curaçao,153,954,553.5,-84%
MP,Oceania,Northern Mariana Islands,150,596,373,-75%
VA,Europe,Vatican,148,502,325,-71%
FO,Europe,Faroe Islands,136,820,478,-83%
SM,Europe,San Marino,134,475,304.5,-72%
SH,Africa,Saint Helena,117,2209,1163,-95%
XK,Europe,Kosovo,104,905,504.5,-89%
BL,North America,St. Barthélemy,28,385,206.5,-93%
MF,North America,St. Martin,88,1511,799.5,-94%
Total,,,18174132,43169912,30672022,
