case_id,sanctioned_state,sanctioning_state,begin,end,trade,descr_trade,arms,military,financial,travel,other,target_mult,sender_mult,objective,success
969,Kyrgyzstan,Uzbekistan,2013,2014,1,exp_part,0,0,0,0,0,0,0,other,failed
970,Lithuania,Russia,2013,2014,1,imp_part,0,0,0,0,0,0,0,other,failed
983,Belize,EU,2014,2014,1,imp_part,0,0,0,0,0,0,1,other,success_total
994,Kyrgyzstan,Uzbekistan,2014,2014,1,exp_part,0,0,0,0,0,0,0,other,failed
1013,Uganda,Sweden,2014,2014,0,,0,0,1,0,0,0,0,human_rights,success_total
1017,Ukraine,"EU, Montenegro, Iceland, Albania, Liechtenstein, Norway, Moldova",2014,2014,1,exp_part,0,0,1,1,0,0,1,human_rights,success_total
1020,Ukraine,Russia,2014,2014,1,exp_part,0,0,0,0,0,0,0,policy_change,failed
1021,Ukraine,Switzerland,2014,2014,0,,0,0,1,0,0,0,0,human_rights,success_total
64,Cuba,United States,1961,2015,0,,0,0,1,1,0,0,0,destab_regime,failed
71,Cuba,OAS,1962,2015,0,,0,0,0,0,1,0,1,destab_regime,nego_settlement
73,Cuba,United States,1962,2015,0,,0,0,1,0,0,0,0,destab_regime,failed
273,Cuba,United States,1982,2015,0,,0,0,1,1,0,0,0,destab_regime,failed
558,EU,Canada,1996,2015,1,imp_part,0,0,0,0,0,1,0,other,success_total
718,Liberia,UN,2003,2015,0,,1,1,0,1,0,0,1,prevent_war,success_total
735,Liberia,UN,2004,2015,0,,0,0,1,0,0,0,1,"prevent_war,democracy","success_part,success_total"
736,Liberia,United States,2004,2015,1,"exp_part, imp_part",0,0,1,0,0,0,0,prevent_war,success_total
797,Fiji,EU,2007,2015,1,exp_part,0,0,1,0,0,0,1,democracy,success_part
964,Egypt,United States,2013,2015,0,,1,1,1,0,0,0,0,"human_rights,democracy","success_part,success_part"
1009,Tanzania,"Canada, EU, Japan, Norway",2014,2015,0,,0,0,1,0,0,0,1,other,success_part
297,Iran,United States,1984,2016,1,exp_part,1,0,1,0,0,0,0,"terrorism,human_rights","failed,failed"
347,Myanmar,United States,1988,2016,0,,1,0,1,0,0,0,0,human_rights,success_total
365,Myanmar,United States,1989,2016,1,imp_part,0,0,0,0,0,0,0,human_rights,success_total
383,Myanmar,United States,1990,2016,1,imp_compl,0,0,0,0,0,0,0,human_rights,success_part
539,Iran,United States,1995,2016,1,"exp_compl, imp_compl",0,0,0,0,0,0,0,"prevent_war,terrorism","success_total,failed"
588,Myanmar,United States,1997,2016,0,,0,0,1,1,0,0,0,human_rights,success_total
669,Liberia,EU,2001,2016,1,imp_part,1,1,0,1,0,0,1,end_war,success_total
675,Yugoslavia,Switzerland,2001,2016,0,,0,0,1,0,0,1,0,democracy,success_total
681,Colombia,EU,2002,2016,0,,0,0,1,0,0,0,1,terrorism,success_total
697,Canada,China,2003,2016,1,imp_part,0,0,0,0,0,0,0,other,success_total
699,Canada,Mexico,2003,2016,1,imp_part,0,0,0,0,0,0,0,other,success_total
706,Costa Rica,United States,2003,2016,0,,0,1,0,0,0,0,0,other,success_total
723,Myanmar,United States,2003,2016,1,exp_part,0,0,1,0,0,0,0,human_rights,success_total
725,United States,Brazil,2003,2016,1,imp_part,0,0,0,0,0,0,0,other,success_total
732,Cote d'Ivoire,UN,2004,2016,0,,1,1,1,1,0,0,1,"end_war,human_rights","success_total,success_total"
744,Cote d'Ivoire,"EU, Turkey, Croatia, Macedonia, Montenegro, Iceland, Albania, Bosnia and Herzegovina, Serbia, Liechtenstein, Norway, Ukraine, Moldova, Armenia, Georgia",2005,2016,1,exp_part,1,0,1,1,0,0,1,"end_war,human_rights","success_total,success_total"
761,Belarus,Canada,2006,2016,1,exp_part,0,0,0,0,0,0,0,human_rights,success_total
763,Belarus,Switzerland,2006,2016,0,,0,0,1,1,0,0,0,"democracy,human_rights","success_total,success_part"
773,Iran,Japan,2006,2016,1,imp_part,0,0,0,0,0,0,0,prevent_war,success_part
774,Iran,UN,2006,2016,1,"exp_part, imp_part",0,0,1,1,0,0,1,prevent_war,success_total
798,Iran,EU,2007,2016,0,,1,0,0,0,0,0,1,prevent_war,success_total
799,Iran,UN,2007,2016,0,,1,0,0,0,0,0,1,prevent_war,success_total
803,Myanmar,United States,2007,2016,1,"exp_part, imp_part",0,0,1,0,0,0,0,human_rights,success_part
806,South Vietnam,United States,2007,2016,0,,1,0,0,0,0,0,0,"prevent_war,human_rights","nego_settlement,nego_settlement"
810,Iran,Australia,2008,2016,1,"exp_part, imp_part",1,1,1,1,0,0,0,prevent_war,success_total
811,Iran,UN,2008,2016,0,,0,0,0,1,0,0,1,prevent_war,success_total
815,Myanmar,United States,2008,2016,1,imp_part,0,0,0,0,0,0,0,human_rights,success_total
855,Iran,Canada,2010,2016,1,exp_part,1,0,1,0,0,0,0,prevent_war,success_total
857,Iran,UN,2010,2016,1,exp_part,1,1,1,0,0,0,1,prevent_war,success_total
874,Belarus,"EU, Croatia, Macedonia, Montenegro, Bosnia and Herzegovina, Iceland, Albania, Serbia, Liechtenstein, Norway",2011,2016,1,exp_part,1,1,1,1,0,0,1,"democracy,human_rights","success_total,success_part"
880,Cote d'Ivoire,"EU, Turkey, Croatia, Macedonia, Montenegro, Iceland, Albania, Bosnia and Herzegovina, Serbia, Liechtenstein, Norway, Ukraine, Moldova, Armenia, Georgia",2011,2016,0,,0,0,1,1,0,0,1,"end_war,human_rights","success_total,success_total"
882,Egypt,Canada,2011,2016,0,,0,0,1,0,0,0,0,other,success_part
890,Iran,Canada,2011,2016,1,exp_part,0,0,0,0,0,0,0,prevent_war,success_total
891,Iran,"EU, Croatia, Macedonia, Montenegro, Iceland, Liechtenstein, Norway, Moldova",2011,2016,0,,0,0,1,1,0,0,1,human_rights,failed
892,Iran,Switzerland,2011,2016,1,"exp_part, imp_part",0,0,1,1,0,0,0,prevent_war,success_total
928,Iran,Canada,2012,2016,1,"exp_part, imp_part",0,0,1,0,1,0,0,"terrorism,prevent_war,human_rights","failed,success_total,failed"
929,Iran,EU,2012,2016,1,exp_part,0,0,0,0,0,0,1,human_rights,failed
930,Iran,"EU, Croatia, Macedonia, Montenegro, Iceland, Albania, Bosnia and Herzegovina, Liechtenstein, Norway, Ukraine, Moldova",2012,2016,1,"exp_part, imp_part",0,0,1,0,0,0,1,human_rights,failed
942,Palestine,United States,2012,2016,1,"exp_part, imp_part",0,0,1,0,0,0,0,terrorism,success_part
958,Central African Republic,African Union,2013,2016,0,,0,0,1,1,1,0,1,"human_rights,prevent_war","success_total,success_total"
959,Central African Republic,Kimberly Process Participants,2013,2016,1,imp_part,0,0,0,0,0,0,1,end_war,failed
967,Iran,Canada,2013,2016,1,"exp_compl, imp_compl",0,0,1,0,0,0,0,prevent_war,success_total
1031,Canada,South Korea,2015,2016,1,imp_part,0,0,0,0,0,0,0,other,success_total
1032,Canada,Taiwan,2015,2016,1,imp_part,0,0,0,0,0,0,0,other,success_total
1034,Liberia,UN,2015,2016,0,,1,1,0,0,0,0,1,prevent_war,success_total
1035,Nepal,India,2015,2016,1,exp_part,0,0,0,0,0,0,0,"democracy,human_rights","success_part,success_part"
1046,Iran,Switzerland,2016,2016,1,exp_part,0,0,0,1,0,0,0,prevent_war,success_total
1051,Tanzania,United States,2016,2016,0,,0,0,1,0,0,0,0,"democracy,human_rights","success_total,success_total"
464,Sudan,United States,1992,2017,0,,1,0,0,0,0,0,0,"territorial_conflict,end_war","failed,failed"
593,Sudan,United States,1997,2017,1,"exp_compl, imp_compl",0,0,1,0,0,0,0,"terrorism,human_rights","success_part,success_part"
600,France,United States,1998,2017,1,imp_part,0,0,0,0,0,0,0,other,success_total
743,Cote d'Ivoire,Canada,2005,2017,0,,1,1,1,1,0,0,0,end_war,success_total
766,Cote d'Ivoire,United States,2006,2017,0,,0,0,1,0,0,0,0,"end_war,human_rights","success_total,success_total"
789,Sudan,United States,2006,2017,1,exp_part,0,0,1,0,0,0,0,"territorial_conflict,end_war","success_part,success_part"
807,Sudan,United States,2007,2017,1,"exp_part, imp_part",0,0,1,0,0,0,0,"territorial_conflict,end_war","success_part,success_part"
820,Benin,EU,2009,2017,0,,0,0,0,0,1,0,1,other,success_total
866,Norway,China,2010,2017,0,,0,0,0,0,1,0,0,"democracy,human_rights","success_part,success_part"
884,Egypt,Switzerland,2011,2017,0,,0,0,1,0,0,0,0,other,failed
898,Libya,EU,2011,2017,0,,0,0,1,1,0,0,1,human_rights,failed
990,"Gambia, The",EU,2014,2017,0,,0,0,1,0,0,0,1,human_rights,success_total
1011,Thailand,EU,2014,2017,0,,0,0,0,0,1,0,1,"democracy,human_rights","success_total,success_total"
1026,Afghanistan,UN,2015,2017,0,,1,0,1,1,0,0,1,terrorism,success_total
1043,Egypt,Saudi Arabia,2016,2017,1,exp_part,0,0,0,0,0,0,0,democracy,failed
1044,"Gambia, The",United States,2016,2017,0,,0,0,0,1,0,0,0,policy_change,success_total
1048,Liberia,Canada,2016,2017,0,,1,1,1,1,0,0,0,prevent_war,success_total
1050,Panama,United States,2016,2017,0,,0,0,1,0,0,0,0,other,ongoing
1061,Iraq,United States,2017,2017,0,,0,0,0,1,0,0,0,terrorism,failed
1071,Qatar,Senegal,2017,2017,0,,0,0,0,0,1,0,0,"terrorism,policy_change","failed,failed"
1075,Sudan,United States,2017,2017,0,,0,0,0,1,0,0,0,terrorism,failed
411,Myanmar,Australia,1991,2018,0,,1,0,1,1,0,0,0,democracy,success_total
599,Ethiopia,Eritrea,1998,2018,0,,0,0,0,1,1,0,0,end_war,success_total
821,Eritrea,Russia,2009,2018,1,exp_part,0,1,0,0,0,0,0,end_war,success_total
822,Eritrea,UN,2009,2018,0,,1,1,1,1,0,0,1,end_war,success_total
853,Eritrea,EU,2010,2018,0,,1,1,1,1,0,0,1,end_war,success_total
867,Norway,China,2010,2018,1,imp_part,0,0,0,1,0,0,0,policy_change,failed
885,Eritrea,UN,2011,2018,1,imp_part,0,0,0,0,0,0,1,end_war,success_total
965,Eritrea,Russia,2013,2018,0,,1,0,0,0,0,0,0,end_war,success_total
988,Colombia,United States,2014,2018,1,"exp_part, imp_part",0,0,1,0,0,0,0,other,success_total
1036,Ukraine,South Vietnam,2015,2018,1,imp_part,0,0,0,0,0,0,0,other,success_total
1052,Cambodia,EU,2017,2018,0,,0,0,1,0,0,0,1,"democracy,human_rights","success_part,success_part"
1054,Chad,United States,2017,2018,0,,0,0,0,1,0,0,0,terrorism,failed
1056,Egypt,United States,2017,2018,0,,0,1,0,0,0,0,0,"human_rights,democracy","success_part,success_part"
1059,Guinea,United States,2017,2018,0,,0,0,0,1,0,0,0,policy_change,success_total
1067,Qatar,Chad,2017,2018,0,,0,0,0,0,1,0,0,"terrorism,policy_change","failed,failed"
1086,China,United States,2018,2018,1,"exp_part, imp_part",0,0,0,0,0,0,0,policy_change,success_total
1107,Turkey,United States,2018,2018,1,"exp_part, imp_part",0,0,1,1,0,0,0,"democracy,human_rights,other","success_total,success_total,success_total"
1012,Thailand,United States,2014,2019,0,,0,0,1,0,0,0,0,"democracy,human_rights","success_total,success_total"
1068,Qatar,Maldives,2017,2019,0,,0,0,0,0,1,0,0,"terrorism,policy_change","failed,failed"
1100,Pakistan,United States,2018,2019,0,,0,1,0,0,0,0,0,"terrorism,end_war","nego_settlement,nego_settlement"
1113,El Salvador,United States,2019,2019,0,,0,0,1,0,0,0,0,policy_change,success_total
1117,Guatemala,United States,2019,2019,0,,0,0,1,0,0,0,0,policy_change,success_total
1118,Honduras,United States,2019,2019,0,,0,0,1,0,0,0,0,policy_change,success_total
1122,Latvia,United States,2019,2019,0,,0,0,1,0,0,0,0,other,nego_settlement
1135,Venezuela,United States,2019,2019,0,,0,0,1,0,0,0,0,democracy,success_total
328,Cyprus,United States,1987,2020,0,,1,0,0,0,0,0,0,territorial_conflict,failed
497,Sudan,United States,1993,2020,0,,0,0,1,0,0,0,0,terrorism,success_part
1114,El Salvador,United States,2019,2020,0,,0,0,1,0,0,0,0,policy_change,success_total
1115,Ghana,United States,2019,2020,0,,0,0,0,1,0,0,0,policy_change,success_total
1116,Guatemala,United States,2019,2020,0,,0,0,1,0,0,0,0,policy_change,success_total
1119,Honduras,United States,2019,2020,0,,0,0,1,0,0,0,0,policy_change,success_total
850,Colombia,United States,2010,2021,1,"exp_part, imp_part",0,0,1,0,0,0,0,other,ongoing
883,Egypt,"EU, Croatia, Macedonia, Albania, Montenegro, Iceland, Bosnia and Herzegovina, Serbia, Liechtenstein, Norway, Moldova, Georgia",2011,2021,0,,0,0,1,0,0,0,1,other,success_total
972,Moldova,Russia,2013,2021,1,imp_part,0,0,0,0,0,0,0,policy_change,nego_settlement
979,Taiwan,United States,2013,2021,1,"exp_part, imp_part",0,0,1,0,0,0,0,policy_change,success_part
1029,Burundi,EU,2015,2021,0,,0,0,1,1,0,0,1,"human_rights,end_war","failed,failed"
1030,Burundi,United States,2015,2021,0,,0,0,1,1,0,0,0,"human_rights,end_war","failed,failed"
1060,Iran,United States,2017,2021,0,,0,0,0,1,0,0,0,terrorism,failed
1069,Qatar,"Mauritania, Djibouti, Comoros, Jordan, Libya, Yemen, North, Niger",2017,2021,0,,0,0,0,0,1,0,1,"terrorism,policy_change","failed,failed"
1070,Qatar,"Saudi Arabia, United Arab Emirates, Bahrain, Egypt",2017,2021,0,,0,0,0,1,1,0,1,"terrorism,policy_change","failed,failed"
1073,Sierra Leone,United States,2017,2021,0,,0,0,0,1,0,0,0,policy_change,failed
1101,Palestine,United States,2018,2021,0,,0,0,1,0,0,0,0,policy_change,success_part
1125,Lesotho,United States,2019,2021,0,,0,0,0,1,0,0,0,other,failed
1129,Nigeria,United States,2019,2021,0,,0,0,0,1,0,0,0,terrorism,failed
1159,Lesotho,United States,2020,2021,1,"exp_part, imp_part",0,0,1,0,0,0,0,other,failed
1202,Egypt,United Kingdom,2021,2021,0,,0,0,1,0,0,0,0,other,success_total
1227,Mali,France,2021,2021,0,,0,1,0,0,0,0,0,end_war,failed
16,Israel,League of Arab States,1950,2022,1,"exp_compl, imp_compl",0,0,0,0,0,0,1,territorial_conflict,ongoing
26,North Korea,UN,1951,2022,0,,1,0,0,0,0,0,1,end_war,ongoing
50,Cuba,United States,1958,2022,0,,1,0,0,0,0,0,0,destab_regime,ongoing
72,Cuba,United States,1962,2022,1,"exp_compl, imp_compl",0,0,0,0,0,0,0,destab_regime,ongoing
179,Cyprus (Northern),Cyprus,1974,2022,0,,0,0,0,0,1,0,0,territorial_conflict,ongoing
199,League of Arab States,United States,1976,2022,0,,0,0,1,0,0,1,0,policy_change,ongoing
327,Cyprus,Turkey,1987,2022,0,,0,0,0,0,1,0,0,territorial_conflict,ongoing
352,Armenia,Azerbaijan,1989,2022,1,"exp_compl, imp_compl",0,0,0,1,1,0,0,territorial_conflict,ongoing
363,China,United States,1989,2022,0,,1,1,0,0,0,0,0,human_rights,ongoing
368,Sudan,United States,1989,2022,0,,0,0,1,0,0,0,0,democracy,ongoing
390,Sudan,United States,1990,2022,0,,0,1,1,0,0,0,0,human_rights,ongoing
431,China,EU,1992,2022,0,,1,1,0,0,0,0,1,human_rights,ongoing
434,Cuba,United States,1992,2022,0,,0,0,1,1,0,0,0,destab_regime,ongoing
463,Somalia,UN,1992,2022,0,,1,0,0,0,0,0,1,"end_war,human_rights","ongoing,ongoing"
473,Armenia,Turkey,1993,2022,1,"exp_compl, imp_compl",0,0,0,1,1,0,0,end_war,ongoing
512,Haiti,United States,1994,2022,0,,1,1,0,0,0,0,0,"democracy,policy_change","ongoing,ongoing"
522,Armenia,OSCE,1995,2022,0,,1,0,0,0,0,0,1,end_war,ongoing
524,Azerbaijan,OSCE,1995,2022,0,,1,0,0,0,0,0,1,end_war,ongoing
557,Cuba,United States,1996,2022,0,,0,0,1,1,0,0,0,destab_regime,ongoing
559,Iran,United States,1996,2022,1,exp_part,0,0,0,0,0,0,0,terrorism,ongoing
560,Libya,United States,1996,2022,1,exp_part,0,0,0,0,0,0,0,terrorism,ongoing
598,ECOWAS,ECOWAS,1998,2022,0,,1,0,0,0,0,1,1,prevent_war,ongoing
662,Balkans,United States,2001,2022,0,,0,0,1,0,0,1,0,prevent_war,ongoing
676,Afghanistan,"EU, Cyprus, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Slovakia, Slovenia, Bulgaria, Romania, Turkey, Iceland, Liechtenstein, Norway",2002,2022,0,,1,1,1,1,1,0,1,"terrorism,end_war","ongoing,ongoing"
677,Afghanistan,UN,2002,2022,0,,1,1,1,1,1,0,1,"terrorism,end_war","ongoing,ongoing"
686,Philippines,"EU, United States",2002,2022,0,,0,0,1,0,0,0,1,terrorism,ongoing
689,Zimbabwe,Australia,2002,2022,0,,1,1,1,1,0,0,0,democracy,ongoing
691,Zimbabwe,"EU, Turkey, Croatia, Macedonia, Montenegro, Iceland, Albania, Bosnia and Herzegovina, Liechtenstein, Norway, Ukraine, Moldova, Armenia, Georgia, Serbia",2002,2022,1,exp_part,1,1,1,1,0,0,1,"democracy,human_rights","ongoing,ongoing"
692,Zimbabwe,Switzerland,2002,2022,1,exp_part,1,1,1,1,0,0,0,"democracy,human_rights","ongoing,ongoing"
694,Zimbabwe,United Kingdom,2002,2022,1,exp_part,0,1,0,0,0,0,0,"democracy,human_rights","ongoing,ongoing"
705,Democratic Republic of the Congo,UN,2003,2022,0,,1,1,0,0,0,0,1,end_war,ongoing
721,Moldova,"EU, Turkey, Croatia, Macedonia, Montenegro, Albania, Bosnia and Herzegovina, Serbia, Liechtenstein, Norway, Armenia, Georgia, Azerbaijan",2003,2022,0,,0,0,0,1,0,0,1,policy_change,ongoing
724,Nigeria,United States,2003,2022,0,,0,1,0,0,0,0,0,other,ongoing
730,Zimbabwe,United States,2003,2022,0,,0,0,1,0,0,0,0,"democracy,human_rights","ongoing,ongoing"
733,Iraq,EU,2004,2022,0,,1,0,0,0,0,0,1,"terrorism,end_war,prevent_war","ongoing,ongoing,ongoing"
738,Sudan,UN,2004,2022,0,,1,1,0,0,0,0,1,"human_rights,end_war","ongoing,ongoing"
739,Syria,United States,2004,2022,1,"exp_part, imp_part",0,0,1,0,1,0,0,"terrorism,end_war,prevent_war","ongoing,ongoing,ongoing"
741,Democratic Republic of the Congo,EU,2005,2022,0,,1,1,1,1,0,0,1,end_war,ongoing
742,Democratic Republic of the Congo,UN,2005,2022,0,,0,0,1,1,0,0,1,end_war,ongoing
753,Sudan,"EU, Turkey, Croatia, Macedonia, Montenegro, Iceland, Albania, Serbia, Liechtenstein, Norway, Armenia",2005,2022,0,,1,1,1,1,0,0,1,"end_war,human_rights","ongoing,ongoing"
754,Sudan,UN,2005,2022,0,,0,0,1,1,0,0,1,"human_rights,end_war","ongoing,ongoing"
764,Belarus,United States,2006,2022,1,"exp_part, imp_part",0,0,1,1,0,0,0,"democracy,human_rights","ongoing,ongoing"
765,Democratic Republic of the Congo,United States,2006,2022,1,"exp_part, imp_part",0,0,1,0,0,0,0,"end_war,democracy,human_rights","ongoing,ongoing,ongoing"
775,North Korea,Australia,2006,2022,1,"exp_part, imp_part",1,1,1,1,1,0,0,prevent_war,ongoing
776,North Korea,EU,2006,2022,1,exp_part,1,1,1,1,0,0,1,prevent_war,ongoing
777,North Korea,Japan,2006,2022,1,imp_compl,0,0,1,0,1,0,0,prevent_war,ongoing
779,North Korea,UN,2006,2022,1,"exp_part, imp_part",1,1,1,1,1,0,1,prevent_war,ongoing
780,Lebanon,EU,2006,2022,0,,1,1,1,0,0,0,1,end_war,ongoing
782,Lebanon,UN,2006,2022,0,,1,1,0,0,0,0,1,end_war,ongoing
788,Sudan,United States,2006,2022,1,"exp_part, imp_part",0,0,1,1,0,0,0,"human_rights,end_war","ongoing,ongoing"
790,Syria,United States,2006,2022,0,,0,0,1,0,0,0,0,terrorism,ongoing
794,Venezuela,United States,2006,2022,0,,1,0,0,0,0,0,0,policy_change,ongoing
795,Afghanistan,New Zealand,2007,2022,0,,1,1,0,1,0,0,0,"terrorism,end_war","ongoing,ongoing"
796,Eritrea,United States,2007,2022,0,,0,0,0,1,1,0,0,policy_change,ongoing
800,Lebanon,United States,2007,2022,0,,0,0,1,0,0,0,0,democracy,ongoing
812,North Korea,United States,2008,2022,1,exp_part,0,0,1,0,0,0,0,prevent_war,ongoing
817,Somalia,UN,2008,2022,0,,1,1,1,1,0,0,1,"end_war,human_rights,prevent_war","ongoing,ongoing,ongoing"
818,Venezuela,United States,2008,2022,0,,0,0,1,0,0,0,0,terrorism,ongoing
819,Zimbabwe,Canada,2008,2022,0,,1,1,1,0,1,0,0,democracy,ongoing
836,North Korea,Japan,2009,2022,1,exp_compl,0,0,0,0,0,0,0,prevent_war,ongoing
845,Somalia,"EU, Turkey, Croatia, Macedonia, Montenegro, Iceland, Albania, Bosnia and Herzegovina, Serbia, Liechtenstein, Norway, Ukraine, Moldova, Armenia",2009,2022,0,,1,1,1,1,0,0,1,"end_war,human_rights","ongoing,ongoing"
846,Somalia,Switzerland,2009,2022,1,imp_part,1,1,1,1,0,0,0,"end_war,human_rights","ongoing,ongoing"
858,Iraq,UN,2010,2022,0,,1,0,0,0,0,0,1,prevent_war,ongoing
859,North Korea,South Korea,2010,2022,1,"exp_compl, imp_compl",0,0,0,1,1,0,0,"end_war,human_rights,democracy","ongoing,ongoing,ongoing"
860,North Korea,United States,2010,2022,1,"exp_part, imp_part",0,0,1,0,0,0,0,prevent_war,ongoing
868,Somalia,United States,2010,2022,1,imp_part,0,0,1,0,0,0,0,"end_war,prevent_war","ongoing,ongoing"
869,Sudan,UN,2010,2022,0,,0,1,0,0,0,0,1,"human_rights,end_war","ongoing,ongoing"
872,Afghanistan,"EU, Turkey, Croatia, Macedonia, Montenegro, Iceland, Albania, Bosnia and Herzegovina, Serbia, Liechtenstein, Norway, Ukraine, Moldova, Armenia, Georgia",2011,2022,0,,1,1,1,1,0,0,1,terrorism,ongoing
873,Afghanistan,United States,2011,2022,0,,1,1,0,0,0,0,0,terrorism,ongoing
875,Belize,United States,2011,2022,1,"exp_part, imp_part",0,0,1,0,0,0,0,other,ongoing
876,Bolivia,United States,2011,2022,1,"exp_part, imp_part",0,0,1,0,0,0,0,other,ongoing
877,Bosnia and Herzegovina,"EU, Turkey, Montenegro, Albania, Liechtenstein, Armenia, Georgia, Iceland, Norway",2011,2022,0,,0,0,1,1,0,0,1,prevent_war,ongoing
879,Costa Rica,United States,2011,2022,1,"exp_part, imp_part",0,0,1,0,0,0,0,other,ongoing
881,Dominican Republic,United States,2011,2022,1,"exp_part, imp_part",0,0,1,0,0,0,0,other,ongoing
887,Guatemala,United States,2011,2022,0,,0,0,1,0,0,0,0,other,ongoing
889,Indonesia,United States,2011,2022,1,"exp_part, imp_part",0,0,1,0,0,0,0,terrorism,ongoing
893,Jamaica,United States,2011,2022,1,"exp_part, imp_part",0,0,1,0,0,0,0,other,ongoing
894,North Korea,Canada,2011,2022,1,"exp_compl, imp_compl",0,0,1,0,1,0,0,prevent_war,ongoing
895,North Korea,United States,2011,2022,1,imp_compl,0,0,0,0,0,0,0,prevent_war,ongoing
896,Libya,Australia,2011,2022,0,,1,1,1,1,0,0,0,human_rights,ongoing
