ID Number,Date_Began,Year,General_Date (if date_began unknown),OrgName,Location (State),State,County,County,Primary CI Sector targeted,Secondary CI Sector,Strain,MITRE ATT&CK Software ID [if exists],"Duration (days, unless specified)",Duration Rank,Ransom Amount,Local Currency,RansomScale,PaidStatus,PayMethod (only if paid),AmtPaid,Source,Related incidents,Comments
11,1/1/2015,2015,"Unspecified, January 2015",Allegheny County DA's office,PA,Pennsylvania,Allegheny County,"Allegheny County, PA",Government Facilities,,"Goznym, Nymain",,,,6 bitcoin,"$1,400",$50000 or less,Yes,bitcoin,"~ $1,400",http://www.post-gazette.com/business/tech-news/2016/12/05/Pittsburgh-FBI-office-has-hand-in-dismantling-International-cybercrime-network-of-servers-called-Avalanche/stories/201612050166,,
12,1/1/2015,2015,2015,Kelsey-Seybold Clinic,TX,,,,Healthcare and Public Health,,CryptoLocker,,,,,,,,,,https://www.healthcareitnews.com/news/how-kelsey-seybold-clinic-recovered-ransomware-attack,,
13,3/20/2015,2015,"Unspecified, March 2015",Lincoln County Sheriff's Department,ME,Maine,Lincoln County,"Lincoln County, ME",Government Facilities,,Megacode,,2,1 week or less,300 euros in bitcoin,$350,$1000 or less,Yes,bitcoin,300 euros in bitcoin,http://www.latimes.com/nation/la-na-0407-cyber-hospital-20160407-story.html,,
14,4/4/2015,2015,,Tewksbury Police Department,MA,,,,Emergency Services,,KEYHolder,,5,1 week or less,$500,$500,$1000 or less,Yes,bitcoin,$500,http://www.latimes.com/nation/la-na-0407-cyber-hospital-20160407-story.html,,
15,6/1/2015,2015,"Unspecified, June 2015",Christopher Rural Health,IL,,,,Healthcare and Public Health,,,,2,1 week or less,Undisclosed bitcoin,"""hundreds of dollars""",$1000 or less,No,N/A,N/A,http://fortune.com/2016/05/07/health-care-ransomware/,,
16,9/1/2015,2015,"Unspecified September, 2015","The Arc of Winnebago, Boone and Ogle Counties",IL,,,,Healthcare and Public Health,,CryptoWall,,3,1 week or less,$700 or $1400 after 2 weeks,$700,$1000 or less,Yes,bitcoin,$700,http://www.rrstar.com/article/20151114/NEWS/151119746,,
17,10/1/2015,2015,Oct-15,Sabella,France,,,,Critical Manufacturing,,,,2 weeks,1 month or less,,4000EU (about $4500 USD),$50000 or less,No,N/A,N/A,http://scid.infracritical.com/pages/scid-00005/,,
18,12/6/2015,2015,"Unspecified, during the week of 12/6/2015-12/10/15",Kensington Wine Market,Canada,,,,Commercial Facilities,,,,day(s),1 week or less,$500,$500,$1000 or less,Yes,bitcoin,$500,http://globalnews.ca/news/2750045/calgary-police-suspect-quite-a-few-other-ransomware-attacks-besides-u-of-c/,,
19,12/25/2015,2015,,Dallas Area Rapid Transit (DART) transit computer system,TX,,,,Transportation Systems,,,,3 weeks+,1 month or less,"$63,000","$63,000",$100000 or less,No,N/A,N/A,https://blog.trendmicro.com/the-growing-concern-of-cyber-attacks-on-critical-infrastructure/,,
20,1/1/2016,2016,"Unspecified, 2016",North Branch Area School District,MN,Minnesota,Chisago County,"Chisago County, MN",Education Facilities Subsector,,,,,,,,,,,,http://www.startribune.com/the-new-snow-day-cloquet-schools-close-because-of-computer-virus/372612611/,,
21,1/1/2016,2016,2016,Uber,,,,,Transportation Systems,,,,,,,,,Yes,Bitcoin,"$100,000 ",https://insidebitcoins.com/news/former-uber-security-chief-charged-for-bitcoin-hush-money-payment,,
22,1/15/2016,2016,,Titus Regional Medical Center,TX,,,,Healthcare and Public Health,,,,10,1 month or less,,,,No,N/A,N/A,http://www.tribnow.com/news/virus-hits-trmc-computers/article_ec2e44bc-bf83-11e5-97be-7fdbf276996d.html [expired]  https://www.beckershospitalreview.com/healthcare-information-technology/texas-hospital-ehr-suffers-ransomware-attack.html,,
23,2/2/2016,2016,,Medfield,MA,Massachusetts,Norfolk County,"Norfolk County, MA",Government Facilities,,,,7,1 week or less,1/2 bitcoin,$300 ,$1000 or less,Yes,bitcoin,$300 ,https://www.boston.com/news/local-news/2016/02/02/medfield-paid-hackers-a-300-ransom-to-unlock-the-town-network,,
24,2/5/2016,2016,,Hollywood Presbyterian Medical Center,CA,,,,Healthcare and Public Health,,,,10,1 month or less,40 bitcoin,"$17,000",$50000 or less,Yes,bitcoin,"$17, 000",http://hollywoodpresbyterian.com/default/assets/File/20160217%20Memo%20from%20the%20CEO%20v2.pdf [expired] https://www.latimes.com/business/technology/la-me-ln-hollywood-hospital-bitcoin-20160217-story.html,,
25,2/5/2016,2016,,Horry County Schools,SC,South Carolina,Horry County,"Horry County, SC",Education Facilities Subsector,,,,days,1 week or less,1.5 bitcoin per machine/22 bitcoin total,"$580 - $8,500",$50000 or less,Yes,bitcoin,"$10,000",https://www.judiciary.senate.gov/imo/media/doc/05-18-16%20Hucks%20Testimony.pdf,,
26,2/7/2016,2016,,Oxford School District,MS,Mississippi,Lafayette County,"Lafayette County, MS",Education Facilities Subsector,,,,Weeks,1 month or less,"$9,000","$9,000",$50000 or less,No,N/A,N/A,http://www.oxfordeagle.com/2016/02/23/oxford-school-district-recovering-from-computer-hack/,,
27,2/10/2016,2016,,Lukas Hospital in Germany,Germany,,,,Healthcare and Public Health,,,,weeks,1 month or less,,,,No,N/A,N/A,http://www.theregister.co.uk/2016/02/26/german_hospitals_ransomware/,,
28,2/15/2016,2016,,Klinikum Arnsberg hospital,Germany,,,,Healthcare and Public Health,,,,1,1 day or less,,,,No,N/A,N/A,http://www.theregister.co.uk/2016/02/26/german_hospitals_ransomware/,,
29,2/19/2016,2016,,Durham,NC,North Carolina,Durham County,"Durham County, NC",Government Facilities,,,,N/A,,,,,No,N/A,N/A,https://www.wral.com/ransomware-attacks-reported-in-durham/15414091/,,
30,2/22/2016,2016,,Park County,WY,Wyoming,Park County,"Park County, WY",Government Facilities,,TeslaCrypt,,3,1 week or less,,,,No,N/A,N/A,"https://www.powelltribune.com/stories/county-hit-by-ransomware,2540",,
31,2/23/2016,2016,,Arizona Superior Court,AZ,Arizona,Maricopa County,"Maricopa County, AZ",Government Facilities,,,,1,1 day or less,,,,No,N/A,N/A,https://techtalk.pcmatic.com/2016/02/25/arizona-superior-court-attacked-by-ransomware/,,
32,2/24/2016,2016,,Los Angeles County Health Department,CA,,,,Healthcare and Public Health,,,,,,,,,No,N/A,N/A,http://www.latimes.com/local/lanow/la-me-ln-county-health-Services-ransomware-20160226-story.html [subscription required] https://la.eater.com/2016/2/29/11128218/la-county-health-department-targeted-cyberattack-ransom,,
33,2/25/2016,2016,,Sarasota,FL,Florida,Sarasota County,"Sarasota County, FL",Government Facilities,,,,1 day,1 day or less,33000000 in bitcoin,"$33,000,000 ",More than $5000000,No,N/A,N/A,https://www.heraldtribune.com/news/20170728/city-of-sarasota-ransomware-attack-isis-and-fbi,,
34,2/26/2016,2016,,Kankakee County,IL,Illinois,Kankakee County,"Kankakee County, IL",Government Facilities,,CryptoWall,,,,,,,No,N/A,N/A,https://www.daily-journal.com/news/local/kankakee-county-computers-get-held-ransom-by-insidious-new-threat/article_d1112286-c54b-5ebf-b8b6-22331e55b86d.html,,
35,3/1/2016,2016,"Unspecified, March 2016",Manlius,NY,New York,Onondaga County,"Onondaga County, NY",Government Facilities,,LeChiffre,,,,$400 ,$400 ,$1000 or less,No,N/A,N/A,https://www.syracuse.com/news/2016/03/ransomware_targets_cny_town_how_to_recognize_and_prevent_it.html,,
36,3/7/2016,2016,,Clark County Water Reclamation,NV,,,,Water and Wastewater Systems,,,,,,,,,,,,https://www.reviewjournal.com/local/local-las-vegas/clark-county-water-reclamation-district-computer-system-hacked/,,
37,3/9/2016,2016,,"City of Plainfield, N.J.",NJ,New Jersey,Union County,"Union County, NJ",Government Facilities,,TeslaCrypt,,,,650 euros in bitcoin,650 euros/$718,$1000 or less,No,N/A,N/A,https://www.washingtonpost.com/world/national-security/these-hackers-can-hold-a-town-hostage-and-they-want-ransom--paid-in-bitcoin/2016/03/18/1a2e2494-eba9-11e5-bc08-3e03a5b41910_story.html?utm_term=.0e0e7def9715,,
38,3/9/2016,2016,,Peru Township,IL,Illinois,LaSalle County,"LaSalle County, IL",Government Facilities,,,,,,$200,$200,$1000 or less,Yes,,$200,https://ohioauditor.gov/news/pressreleases/Details/3039,,
39,3/10/2016,2016,,Cloquet School District,MN,Minnesota,Carlton County,"Carlton County, MN",Education Facilities Subsector,,,,days,1 week or less,"$6,000 in bitcoin","$6,000",$50000 or less,No,N/A,N/A,https://www.pinejournal.com/news/4486912-cloquet-school-district-hit-second-ransomware-attack,,
40,3/11/2016,2016,,The Ottawa Hospital,Canada,,,,Healthcare and Public Health,,,,,,,,,No,N/A,N/A,https://nationalpost.com/news/canada/ottawa-hospital-hit-with-ransomware-information-on-four-computers-locked-down,,
41,3/18/2016,2016,,Henderson Methodist Hospital,KY,,,,Healthcare and Public Health,,Locky,,3,1 week or less,4 bitcoin,"$1,600",$50000 or less,No,N/A,N/A,https://www.wired.com/2016/03/ransomware-why-hospitals-are-the-perfect-targets/,,
42,3/18/2016,2016,,Prime Healthcare Services,CA,,,,Healthcare and Public Health,,,,days,1 week or less,"$17,000 in bitcoin","$17,000",$50000 or less,No,N/A,N/A,http://www.latimes.com/nation/la-na-0407-cyber-hospital-20160407-story.html,,
43,3/25/2016,2016,,Melrose Police Department,MA,,,,Emergency Services,,,,,,1 bitcoin,$489 ,$1000 or less,Yes,bitcoin,1 bitcoin,https://melrose.wickedlocal.com/news/20160229/update-melrose-police-pay-hackers-in-bitcoin-to-recover-encryption-key,,
44,3/28/2016,2016,,MedStar Health Baltimore,MD,,,,Healthcare and Public Health,,Samsam,S0370,5,1 week or less,3 bitcoin per machine/45 bitcoin total,"$1,250 - $18,500",$50000 or less,No,N/A,N/A,http://www.baltimoresun.com/health/bs-md-medstar-ransom-hack-20160330-story.html,,
45,4/5/2016,2016,,Vernon Township,NJ,New Jersey,Sussex County,"Sussex County, NJ",Government Facilities,,,,1,1 day or less,"""a few hundred dollars""","""a few hundred dollars""",$1000 or less,No,N/A,N/A,http://wnewsj.com/news/20025/cyber-scammers-attack-government-entities,,
46,4/25/2016,2016,,Lansing Board of Water & Light,MI,,,,Water and Wastewater Systems,,,,2,1 week or less,"$25,000","$25,000",$50000 or less,Yes,bitcoin,"$25,000",http://www.lansingstatejournal.com/story/news/local/2016/11/25/bwl-prepared-ransomware-attack/94332454/,,
47,5/9/2016,2016,,DeKalb Health Auburn,IN,,,,Healthcare and Public Health,,,,1-2 weeks,1 month or less,,,,,,,https://www.beckershospitalreview.com/healthcare-information-technology/dekalb-health-suffers-ransomware-attack-diverts-patients-to-other-hospitals.html,,
48,5/11/2016,2016,,Wichita County District Clerk,KS,Kansas,Wichita County,"Wichita County, KS",Government Facilities,,CryptoLocker,,days,1 week or less,,,,No,N/A,N/A,http://www.timesrecordnews.com/story/news/local/2016/05/11/county-offices-under-cyber-attack/92585276/,,
49,5/18/2016,2016,,Grant County Education Service District,OR,Oregon,Grant County,"Grant County, OR",Education Facilities Subsector,,Scarab,,,,,,,,,,https://www.bluemountaineagle.com/news/esd-hit-by-ransomware-attack/article_24003596-f598-5662-b282-8d0c1628bc48.html,,
50,5/18/2016,2016,,Kansas Heart Hospital,KS,,,,Healthcare and Public Health,,,,6+ ?,1 week or less,,,,Yes,,,http://www.beckershospitalreview.com/healthcare-information-technology/kansas-heart-hospital-pays-ransom-then-hackers-came-back-for-more.html,,
51,5/24/2016,2016,,Pinal County Attorney's Office,AZ,Arizona,Pinal County,"Pinal County, AZ",Government Facilities,,CryptoLocker,,,,,,,No,N/A,N/A,https://www.12news.com/article/news/local/arizona/ransomware-virus-infects-pcao-case-files/225540620,,
52,5/26/2016,2016,,Columbiana County Juvenile Court System,OH,Ohio,Columbiana County,"Columbiana County, OH",Government Facilities,,Locky,,10,1 month or less,5.4 bitcoin,"$2,883",$50000 or less,Yes,bitcoin,"$2,883",http://www.reviewonline.com/news/local-news/2016/06/juvenile-court-computer-system-hacked/,,
53,5/28/2016,2016,,University of Calgary,Canada,,,,Education Facilities Subsector,,Samsam,S0370,9,1 month or less,"$20,000","20,000 CDN",$50000 or less,Yes,bitcoin,"$20,000 CDN",http://www.theglobeandmail.com/news/national/how-the-university-of-calgary-hack-wentdown/article30358657,,
54,6/1/2016,2016,Jun-16,Langs Building Supplies (Queensland),Australia,,,,Critical Manufacturing,,Cryptolocker,,,,,,,,,,https://www.governmentnews.com.au/type_contributors/ransomware-rising-how-hackers-are-targeting-government-agencies/,,
55,6/1/2016,2016,"Unspecified, June 2016",Henry County 911,TN,Tennessee,Henry County,"Henry County, TN",Emergency Services,,Scarab,,,,,,,No,N/A,N/A,http://www.parispi.net/news/local_news/article_b8941e24-6cb1-11e7-8821-abac5e9986bd.html,,
56,6/1/2016,2016,"Unspecified, June 2016",Palm Beach 911 Services,FL,,,,Emergency Services,,,,,,,,,No,N/A,N/A,https://cbs12.com/news/local/town-of-palm-beach-fights-ransomware-attack-on-911-system,,
57,6/1/2016,2016,"Unspecified, June 2016",Janesville,WI,Wisconsin,Rock County,"Rock County, WI",Government Facilities,,,,,,,,,,,,https://www.channel3000.com/news/local-news/janesville-computer-systems-hit-by-virus-likely-ransomware_20161114080304479/156155709,,
58,6/5/2016,2016,,"Durham, N.H. police department",NH,,,,Emergency Services,,CryptoWall,,,,,,,No,N/A,N/A,http://www.tennessean.com/story/news/local/dickson/2014/11/11/dickson-sheriffs-office-pays-ransom-cyber-criminals/18868325/,,
59,7/1/2016,2016,,Urgent Care Clinic of Oxford,MS,,,,Healthcare and Public Health,,,,,,,,,No,N/A,N/A,http://www.healthcareitnews.com/news/ransomware-attack-urgent-care-clinic-oxford-purportedly-caused-russian-hackers,,
60,7/1/2016,2016,"Unspecified, July 2016",Woodbury County,IA,Iowa,Woodbury County,"Woodbury County, IA",Government Facilities,,,,,,,,,No,N/A,N/A,https://siouxcityjournal.com/news/supervisors-approve-investigation-into-cyber-attack-that-compromised-county-files/article_6273cb18-7704-5803-bd66-c88a9931a4d0.html,,
61,7/1/2016,2016,"Unspecified, July 2016",Wadena,MN,Minnesota,Wadena County,"Wadena County, MN",Government Facilities,,,,,,,,,No,N/A,N/A,https://www.wadenapj.com/news/4082194-city-computers-infected-virus,,
62,7/11/2016,2016,,University Gastroenterology,RI,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.databreaches.net/ri-university-gastroenterology-notifies-patients-of-ransomware-attack/,,
63,7/26/2016,2016,,Marin General Healthcare District and Prima Medical Group,CA,,,,Healthcare and Public Health,,,,1-2 weeks + permanent data loss,1 month or less,,,,Yes,,,http://www.marinij.com/health/20160804/marin-electronic-medical-record-system-hacked-ransom-paid,,
64,7/27/2016,2016,,New Jersey Spine Center,NJ,,,,Healthcare and Public Health,,,,,,,,,Yes,,,http://www.beckershospitalreview.com/healthcare-information-technology/new-jersey-spine-center-pays-ransom-to-cyberattackers-after-seeing-no-other-option.html,,
65,8/1/2016,2016,"Unspecified, August 2016",RI State Police,RI,,,,Emergency Services,,,,,,,,,No,N/A,N/A,,,
66,8/1/2016,2016,,Keck Medicine,CA,,,,Healthcare and Public Health,,,,,,,,,No,N/A,N/A,https://www.beckershospitalreview.com/healthcare-information-technology/ransomware-encrypts-data-at-keck-medicine-of-usc-no-ransom-paid.html,,
67,8/3/2016,2016,,Rainbow Children's Clinic,TX,,,,Healthcare and Public Health,,,,Unspecified some data never recovered,,,,,,,,https://www.hipaajournal.com/rainbow-childrens-clinic-ransomware-attack-resulted-in-data-loss-3635/,,
68,8/30/2016,2016,,Appalachian Regional Healthcare,KY,,,,Healthcare and Public Health,,,,3 weeks,1 month or less,,,,,,,https://www.beckershospitalreview.com/healthcare-information-technology/3-weeks-after-cyberattack-appalachian-regional-healthcare-facilities-now-back-online.html,,
69,9/1/2016,2016,"Unspecified, September 2016",Yuba City,CA,California,Sutter County,"Sutter County, CA",Government Facilities,,,,,,,,,No,N/A,N/A,https://techtalk.pcpitstop.com/2016/10/03/54625/,,
70,9/1/2016,2016,"Unspecified, September 2017",Palm Beach 911 Services,FL,,,,Emergency Services,,,,,,,,,No,N/A,N/A,https://www.palmbeachdailynews.com/news/crime--law/palm-beach-computer-systems-victim-another-malware-attack/FUJHtuuqNHo34qUZZALHCL/,,
71,9/1/2016,2016,"Unspecified, September 2018","Honolulu, FD",HI,,,,Emergency Services,,,,,,,,,No,N/A,N/A,https://www.khon2.com/news/local-news/malicious-software-may-have-infected-hfd-computer-system/901601753,,
72,9/1/2016,2016,"Unspecified, September 2016",Department of Mineral Resources,ND,North Dakota,,", ND",Government Facilities,Energy,,,,,$350 ,$350 ,$1000 or less,No,N/A,N/A,https://www.grandforksherald.com/news/4113494-nd-department-attacked-ransomware,,
73,9/1/2016,2016,Sep-16,Office of the Palm Beach County Supervisor of Elections,FL,Florida,Palm Beach County,"Palm Beach County, FL",Government Facilities,,,,,,,,,,,,https://www.cnn.com/2020/02/13/politics/palm-beach-county-elections-ransomware-attack/index.html,,
74,9/7/2016,2016,,Saint Francis Health System,OK,,,,Healthcare and Public Health,,,,,,24 bitcoin,"$14,400 ",$50000 or less,No,N/A,N/A,https://www.beckershospitalreview.com/healthcare-information-technology/saint-francis-health-system-denies-ransom-demand-for-6k-patients-data.html  https://www.databreaches.net/st-francis-health-system-hacked-thedarkoverlord/,,
75,9/10/2016,2016,,Springfield,TN,Tennessee,Robertson County,"Robertson County, TN",Government Facilities,,,,,,"$1,000 ","$1,000 ",$1000 or less,No,N/A,N/A,https://www.tennessean.com/story/news/local/robertson/2016/09/20/springfield-city-hall-recovers-ransomware-attack/90746176/,,
76,9/21/2016,2016,,Palm Hill PD,TX,,,,Emergency Services,,,,,,$250 ,$250 ,$1000 or less,,,,https://www.seculore.com/cyber-attacks-texas,,
77,9/26/2016,2016,,Barnstable Police Department,MA,,,,Emergency Services,,,,35 minutes,1 day or less,,,,No,N/A,N/A,http://www.darkreading.com/attacks-breaches/ransomware-raises-the-bar-again-/d/d-id/1327138,,
78,9/27/2016,2016,,Crow Wing County,MN,Minnesota,Crow Wing County,"Crow Wing County, MN",Government Facilities,,,,,,,,,No,N/A,N/A,https://www.brainerddispatch.com/news/4125343-crow-wing-county-board-back-or-pay-county-fights-against-ransomware,,
79,9/29/2016,2016,,Mount Holly Springs PD,PA,,,,Emergency Services,,,,,,$500 ,$500 ,$1000 or less,No,N/A,N/A,https://www.abc27.com/news/mount-holly-springs-police-fall-victim-to-cyber-attack/,,
80,10/1/2016,2016,"Unspecified, October 2016",Bighton PD,MA,,,,Emergency Services,,,,,,"$4,600 ","$4,600 ",$50000 or less,Yes,,"$4,600 ",https://turnto10.com/news/local/hack-of-police-computer-system-costs-department-5k,,
81,10/31/2016,2016,,Northern Lincolnshire & Goole NHS Foundation Trust,United Kingdom,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.theregister.co.uk/2016/10/31/virus_shuts_down_nhs_trust/,,28 of 60 NHS trusts reported being victim to ransomware attack in 2016
82,10/31/2016,2016,,Henry County Voting,OH,Ohio,Henry County,"Henry County, OH",Government Facilities,,,,7-9,1 week or less,,,,No,N/A,N/A,http://www.toledoblade.com/Politics/2016/12/07/Residents-information-is-exposed-in-Henry-County-hacking.html,,
83,11/4/2016,2016,,Clay County Courthouse,IN,Indiana,Clay County,"Clay County, IN",Government Facilities,,,,,,,,,Yes,,,http://www.thebraziltimes.com/story/2365451.html [subscription required] ,,
84,11/4/2016,2016,,Madison County Government and Police Department,IN,Indiana,Madison County,"Madison County, IN",Government Facilities,,,,"weeks, 4 days+",1 month or less,,"$21,000",$50000 or less,Yes,,"$21,000",http://www.csoonline.com/article/3148274/security/after-attack-indiana-county-will-spend-220000-on-ransomware-recovery.html,,
85,11/13/2016,2016,,Michigan State University,MI,Michigan,Ingham County,"Ingham County, MI",Education Facilities Subsector,,,,N/A Breach,,,,,No,N/A,N/A,http://www.lansingstatejournal.com/story/news/local/2016/11/18/msu-names-and-social-security-numbers-accessed-data-breach/94086880/,,
86,11/15/2016,2016,,Howard County Government,IN,Indiana,Howard County,"Howard County, IN",Government Facilities,,,,,,,,,No,N/A,N/A,http://www.kokomotribune.com/news/local_news/howard-county-fights-back-against-ransomware-after-attack/article_4c7e2a44-c23f-11e6-8362-9b63b15dd241.html,,
87,11/19/2016,2016,,Bigfork School District,MT,Montana,Flathead County,"Flathead County, MT",Education Facilities Subsector,,,,,,,,,No,N/A,N/A,https://www.dailyinterlake.com/archive/article-d9ec72a2-b117-11e6-95cc-7be8ddd1e3c5.html,,
88,11/24/2016,2016,,St. Mary's County,MD,Maryland,St. Mary's County,"St. Mary's County, MD",Government Facilities,,,,,,,,,No,N/A,N/A,https://www.somdnews.com/enterprise/news/local/st-mary-s-government-s-computers-attacked-on-thanksgiving/article_29f6e7fc-2a65-593e-94da-d34ea5204c65.html,,
89,11/25/2016,2016,,San Francisco Municipal Transport Authority (SFMTA),CA,,,,Transportation Systems,,HDDCryptor,,3,1 week or less,100 bitcoin,"$73,000",$100000 or less,No,N/A,N/A,https://www.tripwire.com/state-of-security/featured/ransomware-hits-san-francisco-transport-system-free-rides-for-all-as-73000-demanded/,,
90,11/29/2016,2016,,Carleton University,Canada,,,,Education Facilities Subsector,,,,days,1 week or less,2 bitcoin per machine/39 bitcoin total,"$29,000 - $38,941",$50000 or less,No,N/A,N/A,http://www.cbc.ca/news/canada/ottawa/carleton-university-hack-ransomware-update-1.3872889,,
91,12/1/2016,2016,,ARCare,AR,,,,Healthcare and Public Health,,,,31 hours,1 day or less,2 bitcoin,"about $1,500",$50000 or less,No,N/A,N/A,http://katv.com/news/local/ransomware-impacting-arkansas-businesses,,Latvian hackers. Ranked as 1 day or less duration because it was less than 1.5 days
92,12/5/2016,2016,,Carroll County Sheriff's Office and another unspecified agency in the county,AR,Arkansas,Carroll County,"Carroll County, AR",Government Facilities,,Dharma,,7,1 week or less,3 bitcoin,"$2,400",$50000 or less,Yes,bitcoin,"$2,440",http://harrisondaily.com/news/our-computer-system-got-hacked-sheriff-s-department-hit-with/article_f2555720-c0ba-11e6-b10d-8b1490740836.html [subscription required] https://www.4029tv.com/article/carroll-county-pays-ransom-money-to-hackers/8492405,,
93,12/12/2016,2016,,Cockrell Hill Police Department,TX,,,,Emergency Services,,Locky,,,,4 bitcoin,"$3,600 ",$50000 or less,No,N/A,N/A,https://www.theregister.co.uk/2017/01/27/texas_cops_lose_evidence_going_back_eight_years_in_ransomware_attack/,,
94,12/12/2016,2016,,Mount Pleasant Police Department,SC,,,,Emergency Services,,,,,,,,,No,N/A,N/A,http://www.postandcourier.com/news/mount-pleasant-police-department-hit-with-ransomware-cyberattack/article_40875fb4-c233-11e6-97cf-bf33fcb6f361.html,,
95,12/12/2016,2016,,Georgia Tech,GA,Georgia,Fulton County,"Fulton County, GA",Education Facilities Subsector,,,,less than 30 minutes,1 day or less,,,,No,N/A,N/A,http://www.bizjournals.com/atlanta/news/2016/12/23/georgia-tech-notifies-employees-of-data-breach.html,,
96,12/17/2016,2016,,Alpena School System,MI,Michigan,Alpena County,"Alpena County, MI",Education Facilities Subsector,,,,,,,,,No,N/A,N/A,https://www.databreaches.net/mi-alpena-public-schools-superintendent-says-ransomware-was-just-some-inconvenience/,,
97,12/30/2016,2016,,Los Angeles Valley College (LAVC) part of Los Angeles Community College District (LACCD),CA,California,Los Angeles County,"Los Angeles County, CA",Education Facilities Subsector,,,,7,1 week or less,"$28,000","$28,000",$50000 or less,Yes,bitcoin,"$28,000",http://www.dailynews.com/technology/20170106/la-college-district-pays-28k-ransom-after-hacker-takes-lavc-student-data-hostage,,
98,1/9/2017,2017,,Washington DC,DC,District of Columbia,District of Columbia,"District of Columbia, DC",Government Facilities,,Cerber,,4 days,1 week or less,,,,No,N/A,N/A,https://www.bleepingcomputer.com/news/security/hackers-used-dc-police-surveillance-system-to-distribute-cerber-ransomware/,,
99,1/12/2017,2017,,Washington D.C. Police CCTV,DC,,,,Emergency Services,,,,2,1 week or less,,,,No,N/A,N/A,https://www.washingtonpost.com/local/public-safety/hackers-hit-dc-police-closed-circuit-camera-network-city-officials-disclose/2017/01/27/d285a4a4-e4f5-11e6-ba11-63c4b4fb5a63_story.html,,
