Member State,Score,Legal Measures,Technical Measures,Organizational Measures,Capacity Development,Cooperative Measures,Rank
Nigeria,65,5.87,0,0,1.23,4.26,57
Philippines,64.3,14.15,10.94,13.06,6.79,12.14,58
Serbia,64.3,7.82,10.5,6.66,4.58,6.3,58
Tanzania,64.2,10.22,0,5.63,1.25,0,59
Iran,64.1,16.48,14.63,16.82,17.8,15.33,60
Montenegro,63.9,9,6.02,3.13,1.23,6.82,61
Albania,63.1,18.13,13.12,13.18,12.12,7.78,62
Mexico,62.9,12.55,0,6.39,0,0,63
Brunei Darussalam,62.4,14.06,14.19,10.84,12.85,4.12,64
Uganda,62.1,15.64,14.19,13.65,10.87,15.63,65
Paraguay,60.3,10.41,10.94,2.37,6.12,4.26,66
Kuwait,60,20,19.54,18.98,20,20,67
Bahrain,58.5,20,12.12,15.11,16.77,13.86,68
Belarus,57.8,10.36,9.5,8.31,7.88,14.51,69
Brazil,57.7,20,18.73,18.98,19.48,19.41,70
Czech Republic,56.9,18.89,19,14.2,9.14,13.14,71
Romania,56.8,20,16.64,18.46,20,19.41,72
Colombia,56.5,9.14,17.58,6.67,14.42,15.93,73
Jordan,55.6,18.53,10.74,15.7,11.47,14.51,74
Liechtenstein,54.3,3.73,8.54,3.13,5.34,8.04,75
Tunisia,53.6,20,19.54,12.21,16.96,17.52,76
Greece,52.7,19.43,15.83,18.98,19.74,20,77
Bangladesh,52.5,14.86,16.77,16.39,17.03,16.22,78
Armenia,49.5,12.87,13.86,4.87,7.85,11.01,79
Benin,48.5,17.42,13.94,19.48,13.6,15.63,80
Cuba,48.1,14.85,10.87,13.91,10.52,8.61,81
Malta,47.9,5.89,0,0,0,4.26,82
Chile,47,17.2,9.39,15.84,11.07,15.33,83
Sri Lanka,46.6,20,19.54,18.98,20,20,84
Mongolia,46.5,16,12.77,12.7,13.75,17.34,85
Cote d'Ivoire,45.6,17.95,14.65,12.14,11.53,11.55,86
Iceland,44.9,17.78,16.17,17.62,11.99,16.25,87
Botswana,44,16.44,4.95,14.16,13.23,4.26,88
Ghana,43.7,19.35,18.48,17.78,15.44,15.63,89
Zambia,43.6,20,13.82,15.86,8.07,11.12,90
Cameroon,43.2,9.84,8.54,5.67,9.95,11.63,91
Dominican Republic,43,16.38,18.42,18.52,9.94,11.81,92
Morocco,42.9,14.61,7.48,12,3.18,15.97,93
Argentina,40.7,12.15,13.75,8.29,4.38,11.35,94
Jamaica,40.7,11.54,2.18,7.87,6.68,4.26,94
Pakistan,40.7,20,18.86,18.98,19.04,20,94
Peru,40.1,9.26,2.18,0,7.3,7.59,95
Burkina Faso,40,9.47,10.25,8.75,3.47,8.04,96
Panama,36.9,20,16.64,20,20,19.41,97
Ecuador,36.7,10.22,9.55,0,6.53,0,98
Samoa,36.7,10.95,0,0,1.23,0,98
Venezuela,35.4,8.8,7.67,6.17,4.41,0,99
Gabon,31.8,4.24,0.73,1.69,0.46,4.26,100
State of Palestine,30.7,13.05,14.15,15.82,6.58,10.04,101
Senegal,30.5,9.94,0,1.44,0,4.26,102
Sudan,29.4,9.02,11.36,2.34,2.46,0,103
Gambia,28,13.28,1.46,8.78,4.34,4.26,104
Ethiopia,27.8,11.56,4.46,8.03,3.69,0,105
Malawi,27.5,8.96,4.11,3,3.47,3.78,106
Iraq,26.3,0,6.56,7.75,2.14,4.26,107
Tajikistan,26.3,9.8,7.85,4.49,0,0,107
Algeria,26.2,12.46,2.73,1.44,10.07,7.25,108
Nepal,26,9.91,0,0,3.18,8.33,109
Seychelles,25.9,19.1,18.99,18.67,14.66,18.38,110
Kyrgyzstan,25.4,17.74,14.25,11.13,16.05,15.9,111
Guatemala,25.1,4.76,0,6.01,2.36,0,112
Antigua and Barbuda,24.7,11.36,0,0,0,4.26,113
Syrian Arab Republic,23.7,13.62,18.85,17.4,17.69,19.41,114
Costa Rica,22.1,17.62,9.14,12.66,12.11,15.93,115
Tonga,20.8,2.63,3.27,1.69,1.52,11.85,116
Liberia,20.6,7.82,0,0,1.26,0,117
Libya,20.6,2.31,4.11,0,1.26,2.04,117
Bosnia and Herzegovina,20.4,10.41,6.56,1.02,3.12,8.33,118
Madagascar,19.6,20,19.54,18.98,19.48,19.41,119
Lao People's Democratic Republic,19.5,13.43,7.85,14.37,1.87,12.11,120
Fiji,19.4,5.99,4.11,6.59,8.31,4.07,121
Guinea,19.1,12.54,0,1.69,0,6.3,122
Trinidad and Tobago,18.8,7.94,7.38,3.18,3.69,0,123
Lebanon,18.6,20,19.21,18.98,19.09,20,124
Zimbabwe,18.6,16.73,0,3.84,5.52,10.4,124
Bhutan,18.1,8.3,4.12,3.47,2.45,0,125
Afghanistan,17.7,0.4,1.46,3.35,0,0,126
Barbados,17.3,12.63,0,0,0,4.26,127
Myanmar,17.2,7.46,8.19,4.62,3.92,0,128
Saint Vincent and the Grenadines,16.9,6.7,0,0,0,4.26,129
Congo,16.7,6.66,0,0,3.8,4.26,130
Cambodia,16.1,7.38,2.5,1.69,3.29,4.26,131
Mozambique,15.8,18.4,17.94,12.37,15.24,18.46,132
Bahamas,14.7,12.85,0,0,0.52,0,133
Grenada,14.3,9.41,0,0,0,0,134
Bolivia (Plurinational State of),13.9,5.13,2.18,0,4.58,4.26,135
Sierra Leone,13.8,7.73,0,1.44,1.23,2.83,136
Eswatini,13.3,4.96,0,3.49,3.47,6.31,137
Guyana,13.2,13.12,2.5,6.47,2.24,3.78,138
Papua New Guinea,13.1,15.97,12.26,11.01,17.25,8.38,139
Belize,12.9,5.77,0,3.01,1.52,0,140
Nicaragua,12.9,19.24,14.19,17.27,17.71,15.63,140
Namibia,12.7,9.39,3.64,4.71,8.92,9.75,141
El Salvador,12.4,8.32,0,0,0.72,4.26,142
Andorra,11.5,8.37,4.11,0,4.41,9.49,143
Turkmenistan,11.5,10.22,0,0,0,4.26,143
Suriname,11,12.43,13.81,5.41,3.38,0,144
Mauritania,10.7,0.83,0,0,0,4.07,145
Nauru,10.1,2.84,0,0,2.34,0,146
Chad,9.8,13.34,0.73,6.5,7.67,12.11,147
Vanuatu,9.8,3.69,2.18,2.95,0,4.07,147
Angola,9.7,6.7,0,0,0,6.3,148
Saint Lucia,9.6,5,0,0,3.18,4.26,149
Niger,9.4,4.74,0,0,0,4.26,150
Burundi,8.7,1.73,0,0,0,0,151
Togo,8.7,19.18,4.9,3.61,0,5.49,151
Mali,8.5,0,0,2.95,0,0,152
Timor-Leste,8.2,0,0,0,0,4.26,153
San Marino,7.5,11.15,0.73,13.37,0,4.07,154
Marshall Islands,7.2,20,15.59,13.41,18.76,15.89,155
Somalia,7,3,0,0,0,4.07,156
Saint Kitts and Nevis,6.5,18.6,18.4,6.42,12.88,20,157
South Sudan,6.5,16.82,15.85,12.5,15.37,17.93,157
Sao Tome and Principe,6.4,3.77,0,1.69,0,8.37,158
Djibouti,6.3,1.73,0,0,0,0,159
Solomon Islands,6.1,20,11.38,13.71,17.72,12.11,160
Tuvalu,5.7,0,0,0,1.71,4.07,161
Guinea-Bissau,5.5,0,0,0,1.52,8.33,162
Cabo Verde,5.1,3.77,0,5,1.96,7,163
Lesotho,5.1,10.24,3.27,5.69,8.26,2.99,163
Haiti,4.6,0.85,0,1.46,4.09,0,164
Honduras,4.4,2.2,0,0,0,0,165
Micronesia (Federated States of),4,15.61,17.9,14.7,16.13,17.34,166
Central African Republic,3.6,3.24,0,0,0,0,167
Equatorial Guinea,3.1,1.46,0,0,0,0,168
Kiribati,2.8,6.64,0,3.13,0,4.07,169
Vatican,2.1,0,0,0,0,0,170
Democratic People's Republic of Korea,2,1.35,0,0,0,0,171
Eritrea,2,1.73,0,0,0,0,171
Dominica,1.9,0.85,0,3.35,0,0,172
Yemen,1.9,0,0,0,0,0,172
Comoros,1.5,0,0,1.69,0,2.04,173
Democratic Republic of the Congo,0.8,5.3,0,0,0,0,174
Maldives,0.4,10.98,5.92,8.4,6,5.54,175
